date,origin,dest,train,dep_time,dep_delay_min,arr_delay_min,arr_delay_sec,canceled
2026-08-16,Halle,Brussels-North,IC 3412,13:22,0,0,0,0
2026-08-16,Halle,Brussels-North,IC 10313,14:10,0,0,0,0
2026-08-16,Halle,Brussels-North,IC 3413,14:22,0,0,0,0
2026-08-16,Halle,Brussels-North,IC 10314,15:10,1,0,0,0
2026-08-16,Halle,Brussels-North,IC 3414,15:22,0,0,0,0
2026-08-16,Halle,Brussels-North,IC 10315,16:10,0,2,120,0
2026-08-16,Halle,Brussels-North,IC 3415,16:22,0,0,0,0
2026-08-16,Halle,Brussels-North,IC 10316,17:10,2,0,0,1
2026-08-16,Halle,Brussels-North,IC 3416,17:22,0,0,0,0
2026-08-16,Halle,Brussels-North,IC 3417,18:22,0,0,0,0
2026-08-16,Halle,Brussels-North,IC 10318,19:10,9,4,240,0
2026-08-16,Halle,Brussels-North,IC 3418,19:22,0,0,0,0
2026-08-16,Halle,Brussels-North,IC 10319,20:10,0,0,0,0
2026-08-16,Halle,Brussels-North,IC 3419,20:22,0,0,0,0
2026-08-16,Halle,Brussels-North,IC 10320,21:10,0,0,0,0
2026-08-16,Halle,Brussels-North,IC 3420,21:22,0,0,0,0
2026-08-16,Halle,Brussels-North,IC 10321,22:10,0,0,0,0
2026-08-16,Halle,Brussels-North,IC 3421,22:22,0,0,0,0
2026-08-16,Halle,Brussels-North,IC 10322,23:10,0,0,0,0
2026-08-16,Halle,Brussels-North,IC 3422,23:22,0,0,0,0
2026-08-16,Halle,Leuven,S2 3756,06:40,0,0,0,0
2026-08-16,Halle,Leuven,S2 3757,07:40,0,0,0,0
2026-08-16,Halle,Leuven,S2 3758,08:40,0,0,0,0
2026-08-16,Halle,Leuven,S2 3759,09:40,0,0,0,0
2026-08-16,Halle,Leuven,S2 3760,10:40,0,0,0,0
2026-08-16,Halle,Leuven,S2 3761,11:40,0,0,0,0
2026-08-16,Halle,Leuven,S2 3762,12:40,0,0,0,0
2026-08-16,Halle,Leuven,S2 3763,13:40,0,0,0,0
2026-08-16,Halle,Leuven,S2 3764,14:40,0,0,0,0
2026-08-16,Halle,Leuven,S2 3765,15:40,0,0,0,0
2026-08-16,Halle,Leuven,S2 3766,16:40,0,0,0,0
2026-08-16,Halle,Leuven,S2 3767,17:40,0,0,0,0
2026-08-16,Halle,Leuven,S2 3768,18:40,0,0,0,0
2026-08-16,Halle,Leuven,S2 3769,19:40,0,0,0,0
2026-08-16,Halle,Leuven,S2 3770,20:40,0,0,0,0
2026-08-16,Halle,Leuven,S2 3771,21:40,0,0,0,0
2026-08-16,Halle,Leuven,S2 3772,22:40,0,0,0,0
2026-08-16,Leuven,Brussels-South/Brussels-Midi,IC 545,00:00,0,0,0,0
2026-08-16,Leuven,Brussels-South/Brussels-Midi,IC 3628,05:19,0,0,0,0
2026-08-16,Leuven,Brussels-South/Brussels-Midi,IC 527,05:34,0,0,0,0
2026-08-16,Leuven,Brussels-South/Brussels-Midi,IC 3629,06:19,0,0,0,0
2026-08-16,Leuven,Brussels-South/Brussels-Midi,IC 528,06:34,0,0,0,0
2026-08-16,Leuven,Brussels-South/Brussels-Midi,IC 1528,06:55,0,0,0,0
2026-08-16,Leuven,Brussels-South/Brussels-Midi,IC 2829,07:07,0,0,0,0
2026-08-16,Leuven,Brussels-South/Brussels-Midi,IC 3630,07:19,0,0,0,0
2026-08-16,Leuven,Brussels-South/Brussels-Midi,IC 529,07:33,0,0,0,0
2026-08-16,Leuven,Brussels-South/Brussels-Midi,IC 1529,07:55,0,0,0,0
2026-08-16,Leuven,Brussels-South/Brussels-Midi,IC 2830,08:07,0,0,0,0
2026-08-16,Leuven,Brussels-South/Brussels-Midi,IC 3631,08:18,0,0,0,0
2026-08-16,Leuven,Brussels-South/Brussels-Midi,IC 530,08:33,0,0,0,0
2026-08-16,Leuven,Brussels-South/Brussels-Midi,IC 1530,08:55,0,0,0,0
2026-08-16,Leuven,Brussels-South/Brussels-Midi,IC 2831,09:07,0,0,0,0
2026-08-16,Leuven,Brussels-South/Brussels-Midi,IC 3632,09:18,0,0,0,0
2026-08-16,Leuven,Brussels-South/Brussels-Midi,IC 531,09:33,0,0,0,0
2026-08-16,Leuven,Brussels-South/Brussels-Midi,IC 1531,09:55,0,0,0,0
2026-08-16,Leuven,Brussels-South/Brussels-Midi,IC 2832,10:07,0,0,0,0
2026-08-16,Leuven,Brussels-South/Brussels-Midi,IC 3633,10:18,0,0,0,0
2026-08-16,Leuven,Brussels-South/Brussels-Midi,IC 532,10:34,0,0,0,0
2026-08-16,Leuven,Brussels-South/Brussels-Midi,IC 1532,10:55,0,0,0,0
2026-08-16,Leuven,Brussels-South/Brussels-Midi,IC 2833,11:07,0,0,0,0
2026-08-16,Leuven,Brussels-South/Brussels-Midi,IC 3634,11:18,0,0,0,0
2026-08-16,Leuven,Brussels-South/Brussels-Midi,IC 533,11:34,0,0,0,0
